id;name;email;title;contact_number;category;sort_order;date_added;date_modified;status
1;payment Shoal;Enos_Lindgren@hotmail.com;Wooden incentivize Tasty;32906;UNDEREVALUATION;7385;2022-07-17;2022-07-17;YELLOW
2;deposit Refined;Fannie_Willms@gmail.com;Outdoors;16967;UNDEREVALUATION;32977;2022-07-17;2022-07-18;YELLOW
3;Loop Rubber;Albin.Dibbert@hotmail.com;Executive;75113;VERIFIED;73597;2022-07-18;2022-07-17;RED
4;Architect Checking;Niko7@gmail.com;Avon Camp;24749;MALICIOUS;56841;2022-07-18;2022-07-18;YELLOW
5;Team-oriented expedite Cross-group;Vivian.Zboncak@hotmail.com;Credit;34326;MALICIOUS;65544;2022-07-18;2022-07-18;RED
6;synergize;Adonis.Kuvalis@yahoo.com;District Creative HTTP;87936;UNDEREVALUATION;26893;2022-07-18;2022-07-17;YELLOW
7;Unions Global;Reyna.Mraz@gmail.com;COM Loan;26905;UNVERIFIED;76442;2022-07-18;2022-07-18;GREEN
8;Account;Vernice90@hotmail.com;Small productivity Sausages;38289;UNDEREVALUATION;77112;2022-07-17;2022-07-18;YELLOW
9;Delaware Mountain Chicken;Webster.Thiel@gmail.com;infrastructure mobile interactive;41544;VERIFIED;15809;2022-07-18;2022-07-18;GREEN
10;Tuna methodology;Alison_Wisozk@yahoo.com;Grocery Cotton;61647;MALICIOUS;94867;2022-07-17;2022-07-17;YELLOW
